X,Y,fid,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.979368,40.634916,2386,152111,Dixie Dr @ 6394 S,West Jordan,Salt Lake,152111,152111,40.634916,-111.979368,3,1,240,Bus,84084,2.52,1.34
-111.980154,40.6330530000001,2387,152112,Dixie Dr @ 6506 S,West Jordan,Salt Lake,152112,152112,40.633053,-111.980154,5,4,240,Bus,84084,5.09,4.17
-111.979644,40.631739,2388,152113,Dixie Dr @ 6588 S,West Jordan,Salt Lake,152113,152113,40.631739,-111.979644,1,3,240,Bus,84084,1.29,3.45
-111.978629,40.6295030000001,2389,152114,Dixie Dr @ 6702 S,West Jordan,Salt Lake,152114,152114,40.629503,-111.978629,0,2,240,Bus,84084,0.41,1.75
-111.977875,40.628498,2390,152115,Dixie Dr @ 6778 S,West Jordan,Salt Lake,152115,152115,40.628498,-111.977875,4,6,240,Bus,84084,3.71,5.67
-111.977781,40.6285990000001,2391,152125,Dixie Dr @ 6741 S,West Jordan,Salt Lake,152125,152125,40.628599,-111.977781,7,3,240,Bus,84084,7.26,3.04
-111.978683,40.629781,2392,152126,Dixie Dr @ 6687 S,West Jordan,Salt Lake,152126,152126,40.629781,-111.978683,2,1,240,Bus,84084,2.16,0.67
-111.979482,40.6315210000001,2393,152127,Dixie Dr @ 6593 S,West Jordan,Salt Lake,152127,152127,40.631521,-111.979482,4,1,240,Bus,84084,4.12,1.13
-111.979787,40.632794,2394,152128,Dixie Dr @ 6515 S,West Jordan,Salt Lake,152128,152128,40.632794,-111.979787,3,4,240,Bus,84084,2.83,3.61
-111.978926,40.635028,2395,152129,Dixie Dr @ 6383 S,West Jordan,Salt Lake,152129,152129,40.635028,-111.978926,1,4,240,Bus,84084,1.24,3.61
-111.978134,40.635992,2396,152130,Dixie Dr @ 6345 S,West Jordan,Salt Lake,152130,152130,40.635992,-111.978134,2,2,240,Bus,84084,2.32,2.42
